หมวด,ดาวเทียม (Satellite),โหมด (Mode),รายละเอียดภาพ (Resolution),Polarization,ข้อมูลในคลัง (Standard Archive),ข้อมูลชนิดสั่งถ่าย (Standard Tasking),Single Look Complex,Path Image,New Acquisition,การติดตาม (Monitoring),หน่วย,หมายเหตุ
รายละเอียดสูงมาก (30–50 ซม.),Pléiades NEO,,30 cm.,,880,1270,,,,,บาท/ตร.กม.,"ในคลัง: สั่งขั้นต่ำ 25 ตร.กม. / สั่งถ่าย: สั่งขั้นต่ำ 100 ตร.กม. / ราคาสำหรับ level Primary (PAN, MS, Pansharpened)"
รายละเอียดสูงมาก (30–50 ซม.),WorldView-4,,30 cm.,,920,1560,,,,,บาท/ตร.กม.,"ในคลัง: สั่งขั้นต่ำ 25 ตร.กม. / สั่งถ่าย: สั่งขั้นต่ำ 100 ตร.กม. / ราคาสำหรับ level Primary (PAN, MS, Pansharpened)"
รายละเอียดสูงมาก (30–50 ซม.),SuperView-2,,42 cm.,,700,1100,,,,,บาท/ตร.กม.,"ในคลัง: สั่งขั้นต่ำ 25 ตร.กม. / สั่งถ่าย: สั่งขั้นต่ำ 100 ตร.กม. / ราคาสำหรับ level Primary (PAN, MS, Pansharpened)"
รายละเอียดสูงมาก (30–50 ซม.),WorldView-1,,50 cm.,,700,1100,,,,,บาท/ตร.กม.,"ในคลัง: สั่งขั้นต่ำ 25 ตร.กม. / สั่งถ่าย: สั่งขั้นต่ำ 100 ตร.กม. / ราคาสำหรับ level Primary (PAN, MS, Pansharpened)"
รายละเอียดสูงมาก (30–50 ซม.),WorldView-2,,50 cm.,,700,1100,,,,,บาท/ตร.กม.,"ในคลัง: สั่งขั้นต่ำ 25 ตร.กม. / สั่งถ่าย: สั่งขั้นต่ำ 100 ตร.กม. / ราคาสำหรับ level Primary (PAN, MS, Pansharpened)"
รายละเอียดสูงมาก (30–50 ซม.),WorldView-3,,50 cm.,,700,1100,,,,,บาท/ตร.กม.,"ในคลัง: สั่งขั้นต่ำ 25 ตร.กม. / สั่งถ่าย: สั่งขั้นต่ำ 100 ตร.กม. / ราคาสำหรับ level Primary (PAN, MS, Pansharpened)"
รายละเอียดสูงมาก (30–50 ซม.),GeoEye-1,,50 cm.,,700,1100,,,,,บาท/ตร.กม.,"ในคลัง: สั่งขั้นต่ำ 25 ตร.กม. / สั่งถ่าย: สั่งขั้นต่ำ 100 ตร.กม. / ราคาสำหรับ level Primary (PAN, MS, Pansharpened)"
รายละเอียดสูงมาก (30–50 ซม.),Pléiades,,50 cm.,,490,830,,,,,บาท/ตร.กม.,"ในคลัง: สั่งขั้นต่ำ 25 ตร.กม. / สั่งถ่าย: สั่งขั้นต่ำ 100 ตร.กม. / ราคาสำหรับ level Primary (PAN, MS, Pansharpened)"
รายละเอียดสูงมาก (30–50 ซม.),EarthScanner,,50 cm.,,400,800,,,,,บาท/ตร.กม.,"ในคลัง: สั่งขั้นต่ำ 25 ตร.กม. / สั่งถ่าย: สั่งขั้นต่ำ 100 ตร.กม. / ราคาสำหรับ level Primary (PAN, MS, Pansharpened)"
รายละเอียดสูงมาก (30–50 ซม.),SuperView-1,,50 cm.,,500,900,,,,,บาท/ตร.กม.,"ในคลัง: สั่งขั้นต่ำ 25 ตร.กม. / สั่งถ่าย: สั่งขั้นต่ำ 100 ตร.กม. / ราคาสำหรับ level Primary (PAN, MS, Pansharpened)"
รายละเอียดสูงมาก (30–50 ซม.),KOMPSAT-3,,50 cm.,,400,700,,,,,บาท/ตร.กม.,"ในคลัง: สั่งขั้นต่ำ 25 ตร.กม. / สั่งถ่าย: สั่งขั้นต่ำ 100 ตร.กม. / ราคาสำหรับ level Primary (PAN, MS, Pansharpened)"
รายละเอียดสูงมาก (30–50 ซม.),SKYSAT,,50 cm.,,300,560,,,,,บาท/ตร.กม.,"ในคลัง: สั่งขั้นต่ำ 1,250 ตร.กม. เข้าดูผ่าน API/Explorer / สั่งถ่าย: โปรดติดต่อเจ้าหน้าที่"
รายละเอียดสูง (60 ซม.–2 ม.),QuickBird,,60 cm.,,700,,,,,,บาท/ตร.กม.,"ในคลัง: สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) / สั่งถ่าย: สั่งขั้นต่ำ 100 ตร.กม."
รายละเอียดสูง (60 ซม.–2 ม.),GaoFen-7,,65 cm.,,400,700,,,,,บาท/ตร.กม.,"ในคลัง: สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) / สั่งถ่าย: สั่งขั้นต่ำ 100 ตร.กม."
รายละเอียดสูง (60 ซม.–2 ม.),Jilin,,75 cm.,,300,600,,,,,บาท/ตร.กม.,"ในคลัง: สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) / สั่งถ่าย: สั่งขั้นต่ำ 100 ตร.กม."
รายละเอียดสูง (60 ซม.–2 ม.),DailyVision,,75 cm.,,300,600,,,,,บาท/ตร.กม.,"ในคลัง: สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) / สั่งถ่าย: สั่งขั้นต่ำ 100 ตร.กม."
รายละเอียดสูง (60 ซม.–2 ม.),GaoFen-2,,80 cm.,,300,400,,,,,บาท/ตร.กม.,"ในคลัง: สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) / สั่งถ่าย: สั่งขั้นต่ำ 100 ตร.กม."
รายละเอียดสูง (60 ซม.–2 ม.),IKONOS,,1 m.,,400,,,,,,บาท/ตร.กม.,"ในคลัง: สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) / สั่งถ่าย: สั่งขั้นต่ำ 100 ตร.กม."
รายละเอียดสูง (60 ซม.–2 ม.),Video Constellation,,1 m.,,142500,285000,,,,,บาท/30 วินาที,ดาวเทียมสามารถถ่ายภาพเคลื่อนไหวในรูปแบบวิดีโอและภาพกลางคืน ภาพวิดีโอแต่ละช่วงจำกัดความยาวอยู่ที่ 30 วินาที | ราคาคิด หน่วย : บาท/30 วินาที
รายละเอียดสูง (60 ซม.–2 ม.),Night Imaging,,1 m.,,800,1400,,,,,บาท/ตร.กม.,ดาวเทียมสามารถถ่ายภาพเคลื่อนไหวในรูปแบบวิดีโอและภาพกลางคืน | พื้นที่การสั่งซื้อข้อมูลขั้นต่ำ ทั้งข้อมูลในคลัง และข้อมูลสั่งถ่ายใหม่ เท่ากับ 100 ตร.กม. | ความกว้างของแนวถ่ายภาพ อย่างน้อย 5 กม. | ราคาคิด หน่วย : บาท/ตร.กม.
รายละเอียดสูง (60 ซม.–2 ม.),SPOT-6,,1.5 m.,,190,230,,,,,บาท/ตร.กม.,ในคลัง: สั่งขั้นต่ำ 100 ตร.กม. / สั่งถ่าย: สั่งขั้นต่ำ 500 ตร.กม.
รายละเอียดสูง (60 ซม.–2 ม.),SPOT-7,,1.5 m.,,190,230,,,,,บาท/ตร.กม.,ในคลัง: สั่งขั้นต่ำ 100 ตร.กม. / สั่งถ่าย: สั่งขั้นต่ำ 500 ตร.กม.
รายละเอียดสูง (60 ซม.–2 ม.),ไทยโชต,,2 m.,,700,6500,,,,,บาท/ภาพ,ราคาที่ปรับ Orthorectification แล้ว ราคา 910 บาท/ภาพ
รายละเอียดปานกลาง,LANDSAT-5,,30 m.,,150,,,,,,บาท/ภาพ,คิดเฉพาะค่าดำเนินการผลิตข้อมูลจากคลังข้อมูล | LANDSAT 5 ราคาข้างต้นใช้สำหรับ Level 1T มีทั้งหมด 7 Bands | LANDSAT 7 ราคาข้างต้นใช้สำหรับ Level 1T มีทั้งหมด 8 Bands
รายละเอียดปานกลาง,LANDSAT-7,,30 m.,,150,,,,,,บาท/ภาพ,คิดเฉพาะค่าดำเนินการผลิตข้อมูลจากคลังข้อมูล | LANDSAT 5 ราคาข้างต้นใช้สำหรับ Level 1T มีทั้งหมด 7 Bands | LANDSAT 7 ราคาข้างต้นใช้สำหรับ Level 1T มีทั้งหมด 8 Bands
รายละเอียดปานกลาง,LANDSAT-8,,30 m.,,150,,,,,,บาท/ภาพ,หากประสงค์ให้ สทอภ. ดำเนินการดาวน์โหลดคิดค่าดำเนินการ 150 บาท/ภาพ | ราคาข้างต้นใช้สำหรับ Level 1T มีทั้งหมด 11 Bands
รายละเอียดปานกลาง,LANDSAT-9,,30 m.,,150,,,,,,บาท/ภาพ,หากประสงค์ให้ สทอภ. ดำเนินการดาวน์โหลดคิดค่าดำเนินการ 150 บาท/ภาพ | ราคาข้างต้นใช้สำหรับ Level 1T มีทั้งหมด 11 Bands
รายละเอียดปานกลาง,PLANETSCOPE,,3 m.,,180,,,,,240,บาท/ตร.กม./ปี,"ราคาในคลังแบบ Access+Download / สั่งขั้นต่ำ 100 ตร.กม. / ระยะเวลาสัญญา 1 ปี / เข้าดูและดาวน์โหลดผ่าน Planet Explorer, Planet API, Desktop GIS"
ระบบเรดาร์,RADARSAT-2 (C band),Standard,25 m.,,,,57600,57600,,,บาท/ภาพ,
ระบบเรดาร์,RADARSAT-2 (C band),Spotlight A,1 m.,,,,134400,134400,,,บาท/ภาพ,
ระบบเรดาร์,RADARSAT-2 (C band),Utra-Fine,3 m.,,,,86400,86400,,,บาท/ภาพ,
